hour,trades_count,total_pnl,mean_pnl,win_rate
0.0,3954,139131.429606,35.18751381031866,0.3889731917046029
1.0,4000,184464.654059,46.11616351475,0.5295
2.0,2928,60096.294405,20.524690712090162,0.29030054644808745
3.0,3330,308455.658716,92.62932694174174,0.34384384384384387
4.0,4205,369555.149658,87.88469670820452,0.3648038049940547
5.0,2991,122734.600708,41.03463748177867,0.27248411902373787
6.0,4324,122984.52454,28.442304472710454,0.3679463459759482
7.0,3287,545735.434988,166.02842561241252,0.4752053544265287
8.0,3152,358780.508079,113.82630332455584,0.4885786802030457
9.0,1866,177205.054465,94.96519531886388,0.35852090032154343
10.0,2106,324596.790386,154.12953009781577,0.5322886989553656
11.0,2149,397608.649968,185.020311758027,0.5146579804560261
12.0,2188,656475.1473129999,300.03434520703837,0.5146252285191956
13.0,1654,168372.975761,101.79744604655382,0.36275695284159615
14.0,3013,85626.068688,28.41887444009293,0.3455028211085297
15.0,3037,250143.989769,82.36548889331577,0.5544945670069147
16.0,1987,141332.254412,71.12846221036739,0.49924509310518367
17.0,2547,159890.428207,62.77598280604632,0.4691794267765999
18.0,3408,251508.083225,73.79932019512911,0.43720657276995306
19.0,4488,358343.152635,79.84473097927808,0.41622103386809267
20.0,5860,170150.115448,29.035855878498293,0.46092150170648466
21.0,3635,315572.988667,86.8151275562586,0.4200825309491059
22.0,3899,114636.599588,29.401538750448832,0.3965119261349064
23.0,5217,-104435.52076800002,-20.018309520414036,0.4031052328924669
