Account,trades_count,total_pnl,mean_pnl,win_rate,avg_size_usd
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,2143382.597689,145.48174829898866,0.3371343243059798,3837.885375008484
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,1600229.819979,419.1277684596647,0.3596123624934521,16159.57673389209
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,940163.80622,44.364090516232544,0.46758210645526616,3210.472831257078
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,840422.555216,68.68441935403726,0.40119320039228507,34396.58028440667
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,836080.553077,20.806304824731235,0.428230141349791,1844.2118863229146
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,677747.050643,155.58931373806246,0.48622589531680444,9084.699093204776
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,429355.565915,270.0349471163522,0.34591194968553457,7216.667245283019
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,416541.872341,336.735547567502,0.48423605497170574,2397.824753435732
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1430,403011.504159,281.8262266846154,0.3062937062937063,2133.6673636363635
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,379095.406711,38.3195599627009,0.8108763772364298,2600.7780491256444
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,308975.869716,40.740489150316456,0.3603639240506329,17098.171054852322
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,220519.061853,83.49831952025748,0.32752745172283226,7852.098337750852
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,199505.592732,520.9023308929503,0.2349869451697128,5189.367127937337
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,168658.004994,52.0710111126891,0.5199135535659154,3138.894782340228
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,132464.814554,9.951529904139434,0.43858462925400044,507.6269326121253
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,126578.942134,41.47409637418087,0.2853866317169069,3601.689298820446
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,108731.216772,111.51919668923077,0.4317948717948718,746.7256512820513
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,106302.875256,6.81210350887536,0.3457866068567767,1273.1950003204101
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,103343.716161,12.130967972884141,0.35344524005164923,517.5289235825802
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,72846.484272,174.6918088057554,0.5731414868105515,2066.6892086330936
